Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cholesterol (mg),Serving Unit,Serving Weight (g),Calories per Serving,Protein per Serving (g)
Ham and Bean soup,96.04,4.18,10.61,4.15,1.43,0.54,378.14,20.52,0.88,22.31,103.7,25.92,100g portion,100,96.0,10.6
Whey soup,68.91,6.26,3.45,3.34,5.87,0.84,87.08,164.92,0.55,2.55,33.72,0.83,100g portion,100,68.9,3.4
Bottle gourd soup (Ghiya/Lauki soup),23.05,1.16,0.45,1.79,0.39,0.96,53.81,15.14,0.26,6.0,52.73,0.72,100g portion,100,23.0,0.5
Baked potato soup,147.05,5.85,5.73,11.21,3.44,0.3,268.69,106.56,0.27,18.93,42.67,26.31,100g portion,100,147.0,5.7
Pumpkin soup,40.05,2.08,0.47,3.2,1.47,1.19,45.5,12.17,0.19,11.5,35.73,0.86,100g portion,100,40.0,0.5
Sweet corn soup,32.25,3.56,0.99,1.63,0.9,0.31,22.35,3.72,0.41,10.33,50.13,0.0,100g portion,100,32.2,1.0
Paneer soup,47.85,2.42,3.22,2.8,1.98,0.28,68.03,82.76,0.3,7.59,106.5,0.0,1 katori (bowl),150,71.8,4.8
Curried Cauliflower soup,37.32,3.12,6.72,9.77,1.79,2.34,7311.44,37.25,2.12,51.86,53.08,4.77,100g portion,100,37.3,6.7
Millet soup,55.99,8.22,11.26,12.57,1.45,2.82,10918.83,65.21,2.74,4.23,26.39,1.45,100g portion,100,56.0,11.3
Lemon coriander soup,108.06,10.32,2.27,6.26,2.2,6.77,219.17,102.57,3.47,8.6,12.47,0.0,100g portion,100,108.1,2.3
Garlic soup,194.86,6.99,2.38,17.62,2.39,1.66,179.26,60.55,0.73,11.12,21.85,22.92,100g portion,100,194.9,2.4
Dal makhani,74.04,7.96,3.32,3.06,0.8,2.27,41.85,20.62,1.23,9.19,75.16,7.25,1 katori (bowl),150,111.1,5.0
Dalma,118.93,15.04,4.91,4.58,3.1,2.16,49.35,54.28,2.1,36.63,137.41,0.0,1 katori (bowl),150,178.4,7.4
Split bengal gram dal (Channa dal),99.67,9.99,4.15,4.62,0.98,3.72,46.4,21.99,1.92,13.38,103.45,8.53,1 katori (bowl),150,149.5,6.2
Horsegram dal (Kulthi dal) ,55.65,8.21,2.91,1.13,0.72,1.52,63.63,38.22,1.3,13.98,86.1,0.0,1 katori (bowl),150,83.5,4.4
Panchmel dal,111.22,10.71,4.63,5.36,0.75,3.2,79.46,23.05,1.42,8.49,79.58,11.86,1 katori (bowl),150,166.8,6.9
Dal dhokli,68.74,8.55,2.96,2.47,1.12,1.86,37.53,14.54,0.79,2.77,45.31,0.0,1 katori (bowl),150,103.1,4.4
Gujarati handvo ,207.09,31.86,8.24,4.8,2.51,4.95,308.55,68.21,2.03,31.39,374.11,1.93,100g portion,100,207.1,8.2
Sev (Omapodi/Karapusa),609.14,12.87,5.12,60.08,0.53,2.35,53.19,13.95,0.72,0.0,59.29,0.0,100g portion,100,609.1,5.1
